Filename;Drawer;Base filename;First word;Last word;First word index;Last word index;Sequence;Error message
KRIJP_21029_03030552_folwark-fortunarz.djvu;Folwark - Fortunarz;folwark-fortunarz;folwark;fortunarz;1;1;153;
KRIJP_21030_03030553_fortunat-frukty.djvu;Fortunat - Frukty;fortunat-frukty;fortunat;frukty;1;1;154;
KRIJP_21031_03030554_fruktowac-fyrynga.djvu;Fruktować - Fyrynga;fruktowac-fyrynga;fruktować;fyrynga;1;1;155;
KRIJP_21032_03030563_g-ganic.djvu;G - Ganić;g-ganic;g;ganić;1;1;156;
KRIJP_21033_03030555_ganienie-gbel.djvu;Ganienie - Gbeł;ganienie-gbel;ganienie;gbeł;1;1;157;
KRIJP_21034_03030556_gbur-gdy1.djvu;Gbur - Gdy1;gbur-gdy1;gbur;gdy;1;1;158;
KRIJP_21035_03030557_gdy2.djvu;Gdy2;gdy2;gdy;gdy;2;2;159;
KRIJP_21036_03030558_gdy3-gdykolwiek.djvu;Gdy3 - Gdykolwiek;gdy3-gdykolwiek;gdy;gdykolwiek;3;1;160;
KRIJP_21037_03030559_gdyrac-gdzie1.djvu;Gdyrać - Gdzie1;gdyrac-gdzie1;gdyrać;gdzie;1;1;161;
KRIJP_21038_03030560_gdzie2-gdziezkolwiek.djvu;Gdzie2 - Gdzieżkolwiek;gdzie2-gdziezkolwiek;gdzie;gdzieżkolwiek;2;1;162;
KRIJP_21039_03030561_gedeonowy-geba.djvu;Gedeonowy - Gęba;gedeonowy-geba;gedeonowy;gęba;1;1;163;
KRIJP_21227_03030562_gebacz-gladki.djvu;Gębacz - Gładki;gebacz-gladki;gębacz;gładki;1;1;164;
KRIJP_21228_03030564_gladko-glosny.djvu;Gładko - Głośny;gladko-glosny;gładko;głośny;1;1;165;
KRIJP_21229_03030565_glowa-glozny.djvu;Głowa - Głoźny;glowa-glozny;głowa;głoźny;1;1;166;
KRIJP_21230_03030566_glod-gnarowanie.djvu;Głód - Gnarowanie;glod-gnarowanie;głód;gnarowanie;1;1;167;
KRIJP_21116_03030567_gnat-godnosc.djvu;Gnat - Godność;gnat-godnosc;gnat;godność;1;1;168;
KRIJP_21117_03030568_godny-gogolka.djvu;Godny - Gogółka;godny-gogolka;godny;gogółka;1;1;169;
KRIJP_21119_03030569_gogust-goracozloty.djvu;Gogust - Gorącozłoty;gogust-goracozloty;gogust;gorącozłoty;1;1;170;
KRIJP_21216_03030570_goracy-gospod.djvu;Gorący - Gospod;goracy-gospod;gorący;gospod;1;1;171;
KRIJP_21217_03030571_gospoda-gosccowy.djvu;Gospoda - Gośccowy;gospoda-gosccowy;gospoda;gośccowy;1;1;172;
KRIJP_21218_03030572_gotowac-gora.djvu;Gotować - Góra;gotowac-gora;gotować;góra;1;1;173;
KRIJP_21226_03030573_gora2-gotowac-sie.djvu;Góra2 - Gotować_się;gora2-gotowac-sie;góra;gotować się;2;1;174;Bad order
KRIJP_21219_03030574_gramota-grodzic-sie.djvu;Gramota - Grodzić_się;gramota-grodzic-sie;gramota;grodzić się;1;1;175;
KRIJP_21221_03030575_grodzienski-grob.djvu;Grodzieński - Grób;grodzienski-grob;grodzieński;grób;1;1;176;
KRIJP_21224_03030576_grobarka-grypsac.djvu;Gróbarka - Grypsać;grobarka-grypsac;gróbarka;grypsać;1;1;177;
KRIJP_21222_03030577_grys-grzeczny.djvu;Grys - Grzeczny;grys-grzeczny;grys;grzeczny;1;1;178;
KRIJP_21223_03030578_grzeczny-gwaltem.djvu;Grzeczny - Gwałtem;grzeczny-gwaltem;grzeczny;gwałtem;1;1;179;
KRIJP_21225_03030579_gwaltownie-gzenie-si.djvu;Gwałtownie - Gżenie_się;gwaltownie-gzenie-si;gwałtownie;gżenie się;1;1;180;
KRIJP_21231_03030583_h-hardo.djvu;H - Hardo;h-hardo;h;hardo;1;1;181;
KRIJP_21232_03030580_hardodurny-heretyk.djvu;Hardodurny - Heretyk;hardodurny-heretyk;hardodurny;heretyk;1;1;182;
KRIJP_21233_03030581_herezja-hetman.djvu;Herezja - Hetman;herezja-hetman;herezja;hetman;1;1;183;
KRIJP_21234_03030582_hetmanic-hold.djvu;Hetmanić - Hołd;hetmanic-hold;hetmanić;hołd;1;1;184;
KRIJP_21235_03030584_holdowac-humiliatka.djvu;Hołdować - Humiliatka;holdowac-humiliatka;hołdować;humiliatka;1;1;185;
KRIJP_21236_03030585_humor-hyza.djvu;Humor - Hyża;humor-hyza;humor;hyża;1;1;186;
KRIJP_21310_03030586_i1.djvu;I1;i1;i;i;1;1;187;
KRIJP_21321_03030597_i2.djvu;I2;i2;i;i;2;2;188;
KRIJP_21327_03030602_i3.djvu;I3;i3;i;i;3;3;189;
KRIJP_21328_03030603_i4.djvu;I4;i4;i;i;4;4;190;
KRIJP_21329_03030604_i5.djvu;I5;i5;i;i;5;5;191;
KRIJP_21330_03030605_i6.djvu;I6;i6;i;i;6;6;192;
KRIJP_21331_03030606_i7.djvu;I7;i7;i;i;7;7;193;
KRIJP_21332_03030607_i8.djvu;I8;i8;i;i;8;8;194;
KRIJP_21333_03030608_i9.djvu;I9;i9;i;i;9;9;195;
KRIJP_21311_03030587_i10.djvu;I10;i10;i;i;10;10;196;
KRIJP_21312_03030588_i11.djvu;I11;i11;i;i;11;11;197;
KRIJP_21313_03030589_i12.djvu;I12;i12;i;i;12;12;198;
KRIJP_21314_03030590_i13.djvu;I13;i13;i;i;13;13;199;
KRIJP_21315_03030591_i14.djvu;I14;i14;i;i;14;14;200;
KRIJP_21316_03030592_i15.djvu;I15;i15;i;i;15;15;201;
KRIJP_21317_03030593_i16.djvu;I16;i16;i;i;16;16;202;
KRIJP_21318_03030594_i17.djvu;I17;i17;i;i;17;17;203;
KRIJP_21319_03030595_i18.djvu;I18;i18;i;i;18;18;204;
